5 users
12 items
36 purchases
   2   8  3.5
   5   1  2.5
   3   6  2.0
   1  11  3.0
   4   4  2.0
   5   2  2.0
   3   8  4.5
   2  11  3.5
   5   4  3.0
   1   1  4.0
   5   5  2.5
   3  10  1.0
   5   6  3.5
   1   3  2.5
   2   1  3.0
   4   9  1.5
   5   7  4.0
   3  12  3.5
   1   4  4.0
   4  10  2.5
   2   2  3.0
   5   8  3.5
   1   5  1.0
   2   3  1.5
   4  11  3.0
   3   1  2.0
   3   2  3.0
   5  10  1.5
   1   7  3.5
   3   3  3.0
   5  11  1.0
   2   6  3.5
   3   4  2.0
   5  12  5.0
   1   9  3.5
   4   3  2.0
